Id,name,vendor_name,scale,price,quantity_stock,description,category,transaction_detail
101678,1969 Harley Davidson Ultimate Chopper,Min Lin Diecast,1:10,48.81,7933,"This replica features working kickstand, front suspension, gear-shift lever, footbrake lever, drive chain, wheels and steering. All parts are particularly delicate due to their precise scale and require special care and attention.",Motorcycles,28
101949,1952 Alpine Renault 1300,Classic Metal Creations,1:10,98.58,7305,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,28
102016,1996 Moto Guzzi 1100i,Highway 66 Mini Classics,1:10,68.99,6625,"Official Moto Guzzi logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",Motorcycles,28
104698,2003 Harley-Davidson Eagle Drag Bike,Red Start Diecast,1:10,91.02,5582,"Model features, official Harley Davidson logos and insignias, detachable rear wheelie bar, heavy diecast metal with resin parts, authentic multi-color tampo-printed graphics, separate engine drive belts, free-turning front fork, rotating tires and rear racing slick, certificate of authenticity, detailed engine, display stand\r\n, precision diecast replica, baked enamel finish, 1:10 scale model, removable fender, seat and tank cover piece for displaying the superior detail of the v-twin engine",Motorcycles,28
104757,1972 Alfa Romeo GTA,Motor City Art Classics,1:10,85.68,3252,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,28
104962,1962 LanciaA Delta 16V,Second Gear Diecast,1:10,103.42,6791,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,28
121099,1968 Ford Mustang,Autoart Studio Design,1:12,95.34,68,"Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color dark green.",Classic Cars,27
121108,2001 Ferrari Enzo,Second Gear Diecast,1:12,95.59,3619,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,27
121666,1958 Setra Bus,Welly Diecast Productions,1:12,77.9,1579,"Model features 30 windows, skylights & glare resistant glass, working steering system, original logos",Trucks and Buses,28
122823,2002 Suzuki XREO,Unimax Art Galleries,1:12,66.27,9997,"Official logos and insignias, saddle bags located on side of motorcycle, detailed engine, working steering, working suspension, two leather seats, luggage rack, dual exhaust pipes, small saddle bag located on handle bars, two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand, diecast metal with plastic parts and baked enamel finish.",Motorcycles,28
123148,1969 Corvair Monza,Welly Diecast Productions,1:18,89.14,6906,"1:18 scale die-cast about 10\"" long doors open, hood opens, trunk opens and wheels roll",Classic Cars,27
123380,1968 Dodge Charger,Welly Diecast Productions,1:12,75.16,9123,"1:12 scale model of a 1968 Dodge Charger. Hood, doors and trunk all open to reveal highly detailed interior features. Steering wheel actually turns the front wheels. Color black",Classic Cars,27
123891,1969 Ford Falcon,Second Gear Diecast,1:12,83.05,1049,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,27
123990,1970 Plymouth Hemi Cuda,Studio M Art Models,1:12,31.92,5663,Very detailed 1970 Plymouth Cuda model in 1:12 scale. The Cuda is generally accepted as one of the fastest original muscle cars from the 1970s. This model is a reproduction of one of the orginal 652 cars built in 1970. Red color.,Classic Cars,27
124473,1957 Chevy Pickup,Exoto Designs,1:12,55.7,6125,"1:12 scale die-cast about 20\"" long Hood opens, Rubber wheels",Trucks and Buses,28
124675,1969 Dodge Charger,Welly Diecast Productions,1:12,58.73,7323,Detailed model of the 1969 Dodge Charger. This model includes finely detailed interior and exterior features. Painted in red and white.,Classic Cars,27
181097,1940 Ford Pickup Truck,Studio M Art Models,1:18,58.33,2613,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood,  removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",Trucks and Buses,28
181129,1993 Mazda RX-7,Highway 66 Mini Classics,1:18,83.51,3975,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color red.",Classic Cars,27
181342,1937 Lincoln Berline,Motor City Art Classics,1:18,60.62,8693,"Features opening engine cover, doors, trunk, and fuel filler cap. Color black",Vintage Cars,28
181367,1936 Mercedes-Benz 500K Special Roadster,Studio M Art Models,1:18,24.26,8635,"This 1:18 scale replica is constructed of heavy die-cast metal and has all the features of the original: working doors and rumble seat, independent spring suspension, detailed interior, working steering system, and a bifold hood that reveals an engine so accurate that it even includes the wiring. All this is topped off with a baked enamel finish. Color white.",Vintage Cars,28
181589,1965 Aston Martin DB5,Classic Metal Creations,1:18,65.96,9042,"Die-cast model of the silver 1965 Aston Martin DB5 in silver. This model includes full wire wheels and doors that open with fully detailed passenger compartment. In 1:18 scale, this model measures approximately 10 inches/20 cm long.",Classic Cars,25
181662,1980s Black Hawk Helicopter,Red Start Diecast,1:18,77.27,5330,"1:18 scale replica of actual Army`s UH-60L BLACK HAWK Helicopter. 100% hand-assembled. Features rotating rotor blades, propeller blades and rubber wheels.",Planes,28
181749,1917 Grand Touring Sedan,Welly Diecast Productions,1:18,86.7,2724,"This 1:18 scale replica of the 1917 Grand Touring car has all the features you would expect from museum quality reproductions: all four doors and bi-fold hood opening, detailed engine and instrument panel, chrome-look trim, and tufted upholstery, all topped off with a factory baked-enamel finish.",Vintage Cars,25
181889,1948 Porsche 356-A Roadster,Gearbox Collectibles,1:18,53.9,8826,"This precision die-cast replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,27
181984,1995 Honda Civic,Min Lin Diecast,1:18,93.89,9772,"This model features, opening hood, opening doors, detailed engine, rear spoiler, opening trunk, working steering, tinted windows, baked enamel finish. Color yellow.",Classic Cars,27
182238,1998 Chrysler Plymouth Prowler,Gearbox Collectibles,1:18,101.51,4724,Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,28
182248,1911 Ford Town Car,Motor City Art Classics,1:18,33.3,540,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system.",Vintage Cars,25
182319,1964 Mercedes Tour Bus,Unimax Art Galleries,1:18,74.86,8258,"Exact replica. 100+ parts. working steering system, original logos",Trucks and Buses,28
182325,1932 Model A Ford J-Coupe,Autoart Studio Design,1:18,58.48,9354,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine",Vintage Cars,28
182432,1926 Ford Fire Engine,Carousel DieCast Legends,1:18,24.92,2018,"Gleaming red handsome appearance. Everything is here the fire hoses, ladder, axes, bells, lanterns, ready to fight any inferno.",Trucks and Buses,28
182581,P-51-D Mustang,Gearbox Collectibles,1:72,49.0,992,Has retractable wheels and comes with a stand,Planes,28
182625,1936 Harley Davidson El Knucklehead,Welly Diecast Productions,1:18,24.23,4357,"Intricately detailed with chrome accents and trim, official die-struck logos and baked enamel finish.",Motorcycles,28
182795,1928 Mercedes-Benz SSK,Gearbox Collectibles,1:18,72.56,548,"This 1:18 replica features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system, chrome-covered spare, opening doors, detailed and wired engine. Color black.",Vintage Cars,28
182870,1999 Indy 500 Monte Carlo SS,Red Start Diecast,1:18,56.76,8164,Features include opening and closing doors. Color: Red,Classic Cars,25
182949,1913 Ford Model T Speedster,Carousel DieCast Legends,1:18,60.78,4189,"This 250 part reproduction includes moving handbrakes, clutch, throttle and foot pedals, squeezable horn, detailed wired engine, removable water, gas, and oil cans, pivoting monocle windshield, all topped with a baked enamel red finish. Each replica comes with an Owners Title and Certificate of Authenticity. Color red.",Vintage Cars,28
182957,1934 Ford V8 Coupe,Min Lin Diecast,1:18,34.35,5649,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",Vintage Cars,28
183029,1999 Yamaha Speed Boat,Min Lin Diecast,1:18,51.61,4259,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",Ships,28
183136,18th Century Vintage Horse Carriage,Red Start Diecast,1:18,60.74,5992,"Hand crafted diecast-like metal horse carriage is re-created in about 1:18 scale of antique horse carriage. This antique style metal Stagecoach is all hand-assembled with many different parts.\r\n\r\nThis collectible metal horse carriage is painted in classic Red, and features turning steering wheel and is entirely hand-finished.",Vintage Cars,28
183140,1903 Ford Model A,Unimax Art Galleries,1:18,68.3,3913,"Features opening trunk,  working steering system",Vintage Cars,27
183232,1992 Ferrari 360 Spider red,Unimax Art Galleries,1:18,77.9,8347,"his replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,53
183233,1985 Toyota Supra,Highway 66 Mini Classics,1:18,57.01,7733,"This model features soft rubber tires, working steering, rubber mud guards, authentic Ford logos, detailed undercarriage, opening doors and hood, removable split rear gate, full size spare mounted in bed, detailed interior with opening glove box",Classic Cars,0
183259,Collectable Wooden Train,Carousel DieCast Legends,1:18,67.56,6450,"Hand crafted wooden toy train set is in about 1:18 scale, 25 inches in total length including 2 additional carts, of actual vintage train. This antique style wooden toy train model set is all hand-assembled with 100% wood.",Trains,27
183278,1969 Dodge Super Bee,Min Lin Diecast,1:18,49.05,1917,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,27
183320,1917 Maxwell Touring Car,Exoto Designs,1:18,57.54,7913,"Features Gold Trim, Full Size Spare Tire, Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System",Vintage Cars,28
183482,1976 Ford Gran Torino,Gearbox Collectibles,1:18,73.49,9127,"Highly detailed 1976 Ford Gran Torino \""Starsky and Hutch\"" diecast model. Very well constructed and painted in red and white patterns.",Classic Cars,27
183685,1948 Porsche Type 356 Roadster,Gearbox Collectibles,1:18,62.16,8990,"This model features working front and rear suspension on accurately replicated and actuating shock absorbers as well as opening engine cover, rear stabilizer flap,  and 4 opening doors.",Classic Cars,25
183782,1957 Vespa GS150,Studio M Art Models,1:18,32.95,7689,"Features rotating wheels , working kick stand. Comes with stand.",Motorcycles,27
183856,1941 Chevrolet Special Deluxe Cabriolet,Exoto Designs,1:18,64.58,2378,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system, leather upholstery. Color black.",Vintage Cars,28
184027,1970 Triumph Spitfire,Min Lin Diecast,1:18,91.92,5545,Features include opening and closing doors. Color: White.,Classic Cars,27
184409,1932 Alfa Romeo 8C2300 Spider Sport,Exoto Designs,1:18,43.26,6553,"This 1:18 scale precision die cast replica features the 6 front headlights of the original, plus a detailed version of the 142 horsepower straight 8 engine, dual spares and their famous comprehensive dashboard. Color black.",Vintage Cars,25
184522,1904 Buick Runabout,Exoto Designs,1:18,52.66,8290,"Features opening trunk,  working steering system",Vintage Cars,27
184600,1940s Ford truck,Motor City Art Classics,1:18,84.76,3128,"This 1940s Ford Pick-Up truck is re-created in 1:18 scale of original 1940s Ford truck. This antique style metal 1940s Ford Flatbed truck is all hand-assembled. This collectible 1940`s Pick-Up truck is painted in classic dark green color, and features rotating wheels.",Trucks and Buses,28
184668,1939 Cadillac Limousine,Studio M Art Models,1:18,23.14,6645,"Features completely detailed interior including Velvet flocked drapes,deluxe wood grain floor, and a wood grain casket with seperate chrome handles",Vintage Cars,28
184721,1957 Corvette Convertible,Classic Metal Creations,1:18,69.93,1249,1957 die cast Corvette Convertible in Roman Red with white sides and whitewall tires. 1:18 scale quality die-cast with detailed engine and underbvody. Now you can own The Classic Corvette.,Classic Cars,27
184933,1957 Ford Thunderbird,Studio M Art Models,1:18,34.21,3209,"This 1:18 scale precision die-cast replica, with its optional porthole hardtop and factory baked-enamel Thunderbird Bronze finish, is a 100% accurate rendition of this American classic.",Classic Cars,24
241046,1970 Chevy Chevelle SS 454,Unimax Art Galleries,1:24,49.24,1005,"This model features rotating wheels, working streering system and opening doors. All parts are particularly delicate due to their precise scale and require special care and attention. It should not be picked up by the doors, roof, hood or trunk.",Classic Cars,25
241444,1970 Dodge Coronet,Highway 66 Mini Classics,1:24,32.37,4074,"1:24 scale die-cast about 18\"" long doors open, hood opens and rubber wheels",Classic Cars,28
241578,1997 BMW R 1100 S,Autoart Studio Design,1:24,60.86,7003,Detailed scale replica with working suspension and constructed from over 70 parts,Motorcycles,28
241628,1966 Shelby Cobra 427 S/C,Carousel DieCast Legends,1:24,29.18,8197,This diecast model of the 1966 Shelby Cobra 427 S/C includes many authentic details and operating parts. The 1:24 scale model of this iconic lighweight sports car from the 1960s comes in silver and it`s own display case.,Classic Cars,25
241785,1928 British Royal Navy Airplane,Classic Metal Creations,1:24,66.74,3627,Official logos and insignias,Planes,28
241937,1939 Chevrolet Deluxe Coupe,Motor City Art Classics,1:24,22.57,7332,"This 1:24 scale die-cast replica of the 1939 Chevrolet Deluxe Coupe has the same classy look as the original. Features opening trunk, hood and doors and a showroom quality baked enamel finish.",Vintage Cars,28
242000,1960 BSA Gold Star DBD34,Highway 66 Mini Classics,1:24,37.32,15,Detailed scale replica with working suspension and constructed from over 70 parts,Motorcycles,28
242011,18th century schooner,Carousel DieCast Legends,1:24,82.34,1898,"All wood with canvas sails. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with 4 masts, all square-rigged.",Ships,27
242022,1938 Cadillac V-16 Presidential Limousine,Classic Metal Creations,1:24,20.61,2847,"This 1:24 scale precision die cast replica of the 1938 Cadillac V-16 Presidential Limousine has all the details of the original, from the flags on the front to an opening back seat compartment complete with telephone and rifle. Features factory baked-enamel black finish, hood goddess ornament, working jump seats.",Vintage Cars,28
242300,1962 Volkswagen Microbus,Autoart Studio Design,1:24,61.34,2327,"This 1:18 scale die cast replica of the 1962 Microbus is loaded with features: A working steering system, opening front doors and tailgate, and famous two-tone factory baked enamel finish, are all topped of by the sliding, real fabric, sunroof.",Trucks and Buses,28
242360,1982 Ducati 900 Monster,Highway 66 Mini Classics,1:24,47.1,6840,"Features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",Motorcycles,27
242766,1949 Jaguar XK 120,Classic Metal Creations,1:24,47.25,2350,"Precision-engineered from original Jaguar specification in perfect scale ratio. Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,25
242840,1958 Chevy Corvette Limited Edition,Carousel DieCast Legends,1:24,15.91,2542,"The operating parts of this 1958 Chevy Corvette Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, working streering, opening doors and trunk. Color dark green.",Classic Cars,28
242841,1900s Vintage Bi-Plane,Autoart Studio Design,1:24,34.25,5942,Hand crafted diecast-like metal bi-plane is re-created in about 1:24 scale of antique pioneer airplane. All hand-assembled with many different parts. Hand-painted in classic yellow and features correct markings of original airplane.,Planes,28
242887,1952 Citroen-15CV,Exoto Designs,1:24,72.82,1452,"Precision crafted hand-assembled 1:18 scale reproduction of the 1952 15CV, with its independent spring suspension, working steering system, opening doors and hood, detailed engine and instrument panel, all topped of with a factory fresh baked enamel finish.",Classic Cars,24
242972,1982 Lamborghini Diablo,Second Gear Diecast,1:24,16.24,7723,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,27
243151,1912 Ford Model T Delivery Wagon,Min Lin Diecast,1:24,46.91,9173,"This model features chrome trim and grille, opening hood, opening doors, opening trunk, detailed engine, working steering system. Color white.",Vintage Cars,27
243191,1969 Chevrolet Camaro Z28,Exoto Designs,1:24,50.51,4695,"1969 Z/28 Chevy Camaro 1:24 scale replica. The operating parts of this limited edition 1:24 scale diecast model car 1969 Chevy Camaro Z28- hood, trunk, wheels, streering, suspension and doors- are particularly delicate due to their precise scale and require special care and attention.",Classic Cars,25
243371,1971 Alpine Renault 1600s,Welly Diecast Productions,1:24,38.58,7995,"This 1971 Alpine Renault 1600s replica Features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,27
243420,1937 Horch 930V Limousine,Autoart Studio Design,1:24,26.3,2902,"Features opening hood, opening doors, opening trunk, wide white wall tires, front door arm rests, working steering system",Vintage Cars,28
243432,2002 Chevy Corvette,Gearbox Collectibles,1:24,62.11,9446,"The operating parts of this limited edition Diecast 2002 Chevy Corvette 50th Anniversary Pace car Limited Edition are particularly delicate due to their precise scale and require special care and attention. Features rotating wheels, poseable streering, opening doors and trunk.",Classic Cars,25
243816,1940 Ford Delivery Sedan,Carousel DieCast Legends,1:24,48.64,6621,"Chrome Trim, Chrome Grille, Opening Hood, Opening Doors, Opening Trunk, Detailed Engine, Working Steering System. Color black.",Vintage Cars,28
243856,1956 Porsche 356A Coupe,Classic Metal Creations,1:18,98.3,6600,Features include: Turnable front wheels; steering function; detailed interior; detailed engine; opening hood; opening trunk; opening doors; and detailed chassis.,Classic Cars,27
243949,Corsair F4U ( Bird Cage),Second Gear Diecast,1:24,29.34,6812,Has retractable wheels and comes with a stand. Official logos and insignias.,Planes,28
243969,1936 Mercedes Benz 500k Roadster,Red Start Diecast,1:24,21.75,2081,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system and rubber wheels. Color black.",Vintage Cars,25
244048,1992 Porsche Cayenne Turbo Silver,Exoto Designs,1:24,69.78,6582,"This replica features opening doors, superb detail and craftsmanship, working steering system, opening forward compartment, opening rear trunk with removable spare, 4 wheel independent spring suspension as well as factory baked enamel finish.",Classic Cars,27
244258,1936 Chrysler Airflow,Second Gear Diecast,1:24,57.46,4710,"Features opening trunk,  working steering system. Color dark green.",Vintage Cars,28
244278,1900s Vintage Tri-Plane,Unimax Art Galleries,1:24,36.23,2756,Hand crafted diecast-like metal Triplane is Re-created in about 1:24 scale of antique pioneer airplane. This antique style metal triplane is all hand-assembled with many different parts.,Planes,28
244620,1961 Chevrolet Impala,Classic Metal Creations,1:18,32.33,7869,"This 1:18 scale precision die-cast reproduction of the 1961 Chevrolet Impala has all the features-doors, hood and trunk that open; detailed 409 cubic-inch engine; chrome dashboard and stick shift, two-tone interior; working steering system; all topped of with a factory baked-enamel finish.",Classic Cars,27
321268,1980’s GM Manhattan Express,Motor City Art Classics,1:32,53.93,5099,"This 1980’s era new look Manhattan express is still active, running from the Bronx to mid-town Manhattan. Has 35 opeining windows and working lights. Needs a battery.",Trucks and Buses,28
321374,1997 BMW F650 ST,Exoto Designs,1:32,66.92,178,Features official die-struck logos and baked enamel finish. Comes with stand.,Motorcycles,28
322206,1982 Ducati 996 R,Gearbox Collectibles,1:32,24.14,9241,"Features rotating wheels , working kick stand. Comes with stand.",Motorcycles,27
322509,1954 Greyhound Scenicruiser,Classic Metal Creations,1:32,25.98,2874,"Model features bi-level seating, 50 windows, skylights & glare resistant glass, working steering system, original logos",Trucks and Buses,28
323207,1950`s Chicago Surface Lines Streetcar,Gearbox Collectibles,1:32,26.72,8601,"This streetcar is a joy to see. It has 80 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",Trains,27
323522,1996 Peterbilt 379 Stake Bed with Outrigger,Red Start Diecast,1:32,33.61,814,"This model features, opening doors, detailed engine, working steering, tinted windows, detailed interior, die-struck logos, removable stakes operating outriggers, detachable second trailer, functioning 360-degree self loader, precision molded resin trailer and trim, baked enamel finish on cab",Trucks and Buses,28
324289,1928 Ford Phaeton Deluxe,Highway 66 Mini Classics,1:32,33.02,136,"This model features grille-mounted chrome horn, lift-up louvered hood, fold-down rumble seat, working steering system",Vintage Cars,28
324485,1974 Ducati 350 Mk3 Desmo,Second Gear Diecast,1:32,56.13,3341,"This model features two-tone paint with chrome accents, superior die-cast detail , rotating wheels , working kick stand",Motorcycles,27
501341,1930 Buick Marquette Phaeton,Studio M Art Models,1:50,27.06,7062,"Features opening trunk,  working steering system",Vintage Cars,28
501392,Diamond T620 Semi-Skirted Tanker,Highway 66 Mini Classics,1:50,68.29,1016,This limited edition model is licensed and perfectly scaled for Lionel Trains. The Diamond T620 has been produced in solid precision diecast and painted with a fire baked enamel finish. It comes with a removable tanker and is a perfect model to add authenticity to your static train or car layout or to just have on display.,Trucks and Buses,28
501514,1962 City of Detroit Streetcar,Classic Metal Creations,1:50,37.49,1645,"This streetcar is a joy to see. It has 99 separate windows, electric wire guides, detailed interiors with seats, poles and drivers controls, rolling and turning wheel assemblies, plus authentic factory baked-enamel finishes (Green Hornet for Chicago and Cream and Crimson for Boston).",Trains,27
504713,2002 Yamaha YZR M1,Autoart Studio Design,1:50,34.17,600,"Features rotating wheels , working kick stand. Comes with stand.",Motorcycles,27
721253,Boeing X-32A JSF,Motor City Art Classics,1:72,32.77,4857,"10\"" Wingspan with retractable landing gears.Comes with pilot",Planes,28
723212,Pont Yacht,Unimax Art Galleries,1:72,33.3,414,"Measures 38 inches Long x 33 3/4 inches High. Includes a stand.\r\nMany extras including rigging, long boats, pilot house, anchors, etc. Comes with 2 masts, all square-rigged",Ships,27
7001138,The Schooner Bluenose,Autoart Studio Design,1:700,34.0,1897,"All wood with canvas sails. Measures 31 1/2 inches in Length, 22 inches High and 4 3/4 inches Wide. Many extras.\r\nThe schooner Bluenose was built in Nova Scotia in 1921 to fish the rough waters off the coast of Newfoundland. Because of the Bluenose racing prowess she became the pride of all Canadians. Still featured on stamps and the Canadian dime, the Bluenose was lost off Haiti in 1946.",Ships,27
7001691,American Airlines: B767-300,Min Lin Diecast,1:700,51.15,5841,Exact replia with official logos and insignias and retractable wheels,Planes,28
7001938,The Mayflower,Studio M Art Models,1:700,43.3,737,"Measures 31 1/2 inches Long x 25 1/2 inches High x 10 5/8 inches Wide\r\nAll wood with canvas sail. Extras include long boats, rigging, ladders, railing, anchors, side cannons, hand painted, etc.",Ships,27
7002047,HMS Bounty,Unimax Art Galleries,1:700,39.83,3501,"Measures 30 inches Long x 27 1/2 inches High x 4 3/4 inches Wide. \r\nMany extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",Ships,28
7002466,America West Airlines B757-200,Motor City Art Classics,1:700,68.8,9653,Official logos and insignias. Working steering system. Rotating jet engines,Planes,28
7002610,The USS Constitution Ship,Red Start Diecast,1:700,33.97,7083,"All wood with canvas sails. Measures 31 1/2\"" Length x 22 3/8\"" High x 8 1/4\"" Width. Extras include 4 boats on deck, sea sprite on bow, anchors, copper railing, pilot houses, etc.",Ships,27
7002824,1982 Camaro Z28,Carousel DieCast Legends,1:18,46.53,6934,"Features include opening and closing doors. Color: White. \r\nMeasures approximately 9 1/2\"" Long.",Classic Cars,28
7002834,ATA: B757-300,Highway 66 Mini Classics,1:700,59.33,7106,Exact replia with official logos and insignias and retractable wheels,Planes,28
7003167,F/A 18 Hornet 1/72,Motor City Art Classics,1:72,54.4,551,"10\"" Wingspan with retractable landing gears.Comes with pilot",Planes,28
7003505,The Titanic,Carousel DieCast Legends,1:700,51.09,1956,"Completed model measures 19 1/2 inches long, 9 inches high, 3inches wide and is in barn red/black. All wood and metal.",Ships,27
7003962,The Queen Mary,Welly Diecast Productions,1:700,53.63,5088,"Exact replica. Wood and Metal. Many extras including rigging, long boats, pilot house, anchors, etc. Comes with three masts, all square-rigged.",Ships,27
7004002,American Airlines: MD-11S,Second Gear Diecast,1:700,36.27,8820,Polished finish. Exact replia with official logos and insignias and retractable wheels,Planes,28
